Search:,Year,Semester
NUFS 25 (Section 01),41934,In Person,Internship in Foodservice Management,,1.0,SUP,TBA,TBA,Jamie Kubota,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 25 (Section 02),41935,In Person,Internship in Foodservice Management,,2.0,SUP,TBA,TBA,Jamie Kubota,,08/21/24-12/09/24,19,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 01),43392,In Person,Dietetic Internship,,1.0,SUP,W,04:30PM-05:45PM,Kasuen Mauldin,CCB121,08/21/24-12/09/24,11,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 02),49071,In Person,Dietetic Internship,,3.0,SUP,TBA,TBA,Kasuen Mauldin,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 03),49072,In Person,Dietetic Internship,,6.0,SUP,TBA,TBA,Kasuen Mauldin,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 04),49073,In Person,Dietetic Internship,,12.0,SUP,TBA,TBA,Kasuen Mauldin,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 05),49074,In Person,Dietetic Internship,,6.0,SUP,TBA,TBA,Giselle Pignotti,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 06),49075,In Person,Dietetic Internship,,12.0,SUP,TBA,TBA,Giselle Pignotti,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 07),49076,In Person,Dietetic Internship,,6.0,SUP,TBA,TBA,Ashwini Wagle,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 280A (Section 08),49077,In Person,Dietetic Internship,,12.0,SUP,TBA,TBA,Ashwini Wagle,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
