Search:,Year,Semester
KIN 147 (Section 06),48513,In Person,Biomechanical Assessment of Movement,,0,LAB,MW,04:00PM-05:20PM,Sherveen Riazati,SPXC234,08/21/24-12/09/24,0,2024,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
KIN 149 (Section 80),49736,Fully Online,Child Health and Physical Activity,,3.0,LEC,M,2024,Fall
TBA,M,2024,Fall
TBA,Laura Pirazzi / Terry Piper,ONLINE,2024,Fall
KIN 149 (Section 81),49737,Fully Online,Child Health and Physical Activity,,3.0,LEC,M,2024,Fall
TBA,M,2024,Fall
TBA,Laura Pirazzi / Terry Piper,ONLINE,2024,Fall
KIN 14A (Section 01),40202,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,MW,12:30PM-01:20PM,David Stanton,SPXC107B,08/21/24-12/09/24,0,2024,Fall
KIN 14A (Section 02),40540,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,MW,01:30PM-02:20PM,David Stanton,SPXC107B,08/21/24-12/09/24,0,2024,Fall
KIN 14A (Section 03),41261,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,TR,10:30AM-11:20AM,David Stanton,SPXC107B,08/21/24-12/09/24,0,2024,Fall
KIN 14A (Section 04),44145,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,TR,01:30PM-02:20PM,David Stanton,SPXC107B,08/21/24-12/09/24,0,2024,Fall
KIN 14B (Section 01),43401,In Person,Intermediate Volleyball,PE: PhysEd,1.0,ACT,TR,11:30AM-12:20PM,David Stanton,SPXC107B,08/21/24-12/09/24,0,2024,Fall
KIN 14C (Section 01),43402,In Person,Advanced Volleyball,PE: PhysEd,1.0,ACT,MW,02:30PM-03:20PM,David Stanton,SPXC107B,08/21/24-12/09/24,0,2024,Fall
KIN 151 (Section 01),44521,In Person,Sports and Fitness Marketing,,3.0,LEC,MW,09:00AM-10:15AM,Arman Medina,SH242,08/21/24-12/09/24,0,2024,Fall
KIN 152 (Section 01),41274,In Person,Theory of Sport and Fitness Management,,3.0,LEC,TR,01:30PM-02:45PM,Lamont Williams,SPXE163,08/21/24-12/09/24,4,2024,Fall
KIN 153 (Section 01),43515,In Person,Sport Facility and Event Management,,3.0,LEC,TR,12:00PM-01:15PM,Vonn Taylor,SPXE163,08/21/24-12/09/24,0,2024,Fall
